Latitude,Longitude,Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Expected Monthly,Total Services,Security Score,Entertainment Score
33.644585,-116.871544,No,No,No,50,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),20.15,989.05,19.781,0,0,0
34.049172,-118.115022,Yes,Yes,Yes,65,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.45,7047.5,108.42307692307692,4,2,2
38.047746,-121.030499,No,No,No,68,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,24.55,1657.4,24.373529411764707,0,0,0
41.266008,-120.490731,Yes,Yes,No,63,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.0,5329.55,84.59603174603176,6,4,2
33.119028,-117.166036,No,Yes,Yes,67,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.65,6717.9,100.26716417910447,4,2,2
33.22784,-117.200024,Yes,No,No,67,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),64.55,4250.1,63.43432835820896,3,3,0
37.257063,-121.923037,No,Yes,No,62,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,113.95,6891.4,111.1516129032258,6,4,2
34.827662,-118.999073,No,No,No,59,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),61.35,3645.5,61.78813559322034,2,1,1
38.047746,-121.030499,No,No,No,31,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,50.05,1523.4,49.141935483870974,3,1,2
39.125311,-121.392283,Yes,Yes,No,69,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),105.4,6998.95,101.4340579710145,4,2,2
39.117018,-120.212535,No,No,No,4,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),55.5,227.35,56.8375,1,0,1
37.902422,-121.440029,No,No,No,28,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,56.05,1522.65,54.38035714285714,2,2,0
34.146957,-118.432138,No,Yes,No,68,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),84.7,5711.05,83.9860294117647,2,2,0
37.760412,-122.484966,No,No,No,12,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.45,255.35,21.279166666666665,0,0,0
34.061634,-117.893169,Yes,Yes,No,65,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),105.85,6725.5,103.46923076923076,5,3,2
33.200369,-116.192313,No,Yes,Yes,47,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.25,2538.2,54.00425531914893,1,1,0
32.673483,-116.472863,No,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,49.8,0,0,0
41.083464,-121.107929,No,No,No,63,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.75,6536.5,103.75396825396825,4,2,2
34.078991,-118.263804,Yes,Yes,No,22,Yes,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),25.6,548.8,24.94545454545454,0,0,0
34.049671,-117.468896,No,Yes,No,60,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.2,3582.4,59.70666666666667,5,3,2
